season,celebrity_name,season_wikipedia_page,window_start,window_end,geo,trends_status,trends_mean,trends_max,trends_sum,n_points
1,Evander Holyfield,Dancing with the Stars (American TV series) season 1,2005-05-25,2005-07-13,US,error:TooManyRequestsError,,,,0
1,Joey McIntyre,Dancing with the Stars (American TV series) season 1,2005-05-25,2005-07-13,US,error:TooManyRequestsError,,,,0
1,John O'Hurley,Dancing with the Stars (American TV series) season 1,2005-05-25,2005-07-13,US,error:TooManyRequestsError,,,,0
1,Kelly Monaco,Dancing with the Stars (American TV series) season 1,2005-05-25,2005-07-13,US,error:TooManyRequestsError,,,,0
1,Rachel Hunter,Dancing with the Stars (American TV series) season 1,2005-05-25,2005-07-13,US,error:TooManyRequestsError,,,,0
1,Trista Sutter,Dancing with the Stars (American TV series) season 1,2005-05-25,2005-07-13,US,error:TooManyRequestsError,,,,0
2,Drew Lachey,Dancing with the Stars (American TV series) season 2,2005-12-29,2006-03-05,US,error:TooManyRequestsError,,,,0
2,George Hamilton,Dancing with the Stars (American TV series) season 2,2005-12-29,2006-03-05,US,error:TooManyRequestsError,,,,0
2,Giselle Fernandez,Dancing with the Stars (American TV series) season 2,2005-12-29,2006-03-05,US,error:TooManyRequestsError,,,,0
2,Jerry Rice,Dancing with the Stars (American TV series) season 2,2005-12-29,2006-03-05,US,error:TooManyRequestsError,,,,0
2,Kenny Mayne,Dancing with the Stars (American TV series) season 2,2005-12-29,2006-03-05,US,error:TooManyRequestsError,,,,0
2,Lisa Rinna,Dancing with the Stars (American TV series) season 2,2005-12-29,2006-03-05,US,error:TooManyRequestsError,,,,0
2,Master P,Dancing with the Stars (American TV series) season 2,2005-12-29,2006-03-05,US,error:TooManyRequestsError,,,,0
2,Stacy Keibler,Dancing with the Stars (American TV series) season 2,2005-12-29,2006-03-05,US,error:TooManyRequestsError,,,,0
2,Tatum O'Neal,Dancing with the Stars (American TV series) season 2,2005-12-29,2006-03-05,US,error:TooManyRequestsError,,,,0
2,Tia Carrere,Dancing with the Stars (American TV series) season 2,2005-12-29,2006-03-05,US,error:TooManyRequestsError,,,,0
3,Emmitt Smith,Dancing with the Stars (American TV series) season 3,2006-09-05,2006-11-22,US,error:TooManyRequestsError,,,,0
3,Harry Hamlin,Dancing with the Stars (American TV series) season 3,2006-09-05,2006-11-22,US,error:TooManyRequestsError,,,,0
3,Jerry Springer,Dancing with the Stars (American TV series) season 3,2006-09-05,2006-11-22,US,error:TooManyRequestsError,,,,0
3,Joey Lawrence,Dancing with the Stars (American TV series) season 3,2006-09-05,2006-11-22,US,error:TooManyRequestsError,,,,0
3,Mario Lopez,Dancing with the Stars (American TV series) season 3,2006-09-05,2006-11-22,US,error:TooManyRequestsError,,,,0
3,Monique Coleman,Dancing with the Stars (American TV series) season 3,2006-09-05,2006-11-22,US,error:TooManyRequestsError,,,,0
3,Sara Evans,Dancing with the Stars (American TV series) season 3,2006-09-05,2006-11-22,US,error:TooManyRequestsError,,,,0
3,Shanna Moakler,Dancing with the Stars (American TV series) season 3,2006-09-05,2006-11-22,US,error:TooManyRequestsError,,,,0
3,Tucker Carlson,Dancing with the Stars (American TV series) season 3,2006-09-05,2006-11-22,US,error:TooManyRequestsError,,,,0
3,Vivica A. Fox,Dancing with the Stars (American TV series) season 3,2006-09-05,2006-11-22,US,error:TooManyRequestsError,,,,0
3,Willa Ford,Dancing with the Stars (American TV series) season 3,2006-09-05,2006-11-22,US,error:TooManyRequestsError,,,,0
4,Apolo Anton Ohno,Dancing with the Stars (American TV series) season 4,2007-03-12,2007-05-29,US,ok,6.582278481012659,100.0,520.0,79
4,Billy Ray Cyrus,Dancing with the Stars (American TV series) season 4,2007-03-12,2007-05-29,US,ok,17.59493670886076,100.0,1390.0,79
4,Clyde Drexler,Dancing with the Stars (American TV series) season 4,2007-03-12,2007-05-29,US,ok,6.189873417721519,100.0,489.0,79
4,Heather Mills,Dancing with the Stars (American TV series) season 4,2007-03-12,2007-05-29,US,ok,11.544303797468354,100.0,912.0,79
4,Ian Ziering,Dancing with the Stars (American TV series) season 4,2007-03-12,2007-05-29,US,ok,10.063291139240507,100.0,795.0,79
4,Joey Fatone,Dancing with the Stars (American TV series) season 4,2007-03-12,2007-05-29,US,ok,8.341772151898734,100.0,659.0,79
4,John Ratzenberger,Dancing with the Stars (American TV series) season 4,2007-03-12,2007-05-29,US,ok,4.10126582278481,100.0,324.0,79
4,Laila Ali,Dancing with the Stars (American TV series) season 4,2007-03-12,2007-05-29,US,ok,9.734177215189874,100.0,769.0,79
4,Leeza Gibbons,Dancing with the Stars (American TV series) season 4,2007-03-12,2007-05-29,US,ok,5.518987341772152,100.0,436.0,79
4,Paulina Porizkova,Dancing with the Stars (American TV series) season 4,2007-03-12,2007-05-29,US,ok,3.7468354430379747,100.0,296.0,79
4,Shandi Finnessey,Dancing with the Stars (American TV series) season 4,2007-03-12,2007-05-29,US,ok,4.569620253164557,100.0,361.0,79
5,Albert Reed,Dancing with the Stars (American TV series) season 5,2007-09-17,2007-12-04,US,ok,5.139240506329114,100.0,406.0,79
5,Cameron Mathison,Dancing with the Stars (American TV series) season 5,2007-09-17,2007-12-04,US,ok,5.8354430379746836,100.0,461.0,79
5,Floyd Mayweather Jr. ,Dancing with the Stars (American TV series) season 5,2007-09-17,2007-12-04,US,ok,1.2658227848101267,100.0,100.0,79
5,Helio Castroneves,Dancing with the Stars (American TV series) season 5,2007-09-17,2007-12-04,US,ok,4.886075949367089,100.0,386.0,79
5,Jane Seymour,Dancing with the Stars (American TV series) season 5,2007-09-17,2007-12-04,US,ok,13.91139240506329,100.0,1099.0,79
5,Jennie Garth,Dancing with the Stars (American TV series) season 5,2007-09-17,2007-12-04,US,ok,9.240506329113924,100.0,730.0,79
5,Josie Maran,Dancing with the Stars (American TV series) season 5,2007-09-17,2007-12-04,US,ok,4.10126582278481,100.0,324.0,79
5,Marie Osmond,Dancing with the Stars (American TV series) season 5,2007-09-17,2007-12-04,US,ok,7.050632911392405,100.0,557.0,79
5,Mark Cuban,Dancing with the Stars (American TV series) season 5,2007-09-17,2007-12-04,US,ok,12.734177215189874,100.0,1006.0,79
5,Mel B,Dancing with the Stars (American TV series) season 5,2007-09-17,2007-12-04,US,ok,6.810126582278481,100.0,538.0,79
5,Sabrina Bryan,Dancing with the Stars (American TV series) season 5,2007-09-17,2007-12-04,US,ok,7.050632911392405,100.0,557.0,79
5,Wayne Newton,Dancing with the Stars (American TV series) season 5,2007-09-17,2007-12-04,US,ok,4.7974683544303796,100.0,379.0,79
6,Adam Carolla,Dancing with the Stars (American TV series) season 6,2008-03-10,2008-05-27,US,ok,22.9873417721519,100.0,1816.0,79
6,Cristian de la Fuente,Dancing with the Stars (American TV series) season 6,2008-03-10,2008-05-27,US,ok,4.848101265822785,100.0,383.0,79
6,Jason Taylor,Dancing with the Stars (American TV series) season 6,2008-03-10,2008-05-27,US,ok,11.79746835443038,100.0,932.0,79
6,Kristi Yamaguchi,Dancing with the Stars (American TV series) season 6,2008-03-10,2008-05-27,US,ok,7.632911392405063,100.0,603.0,79
6,Mario,Dancing with the Stars (American TV series) season 6,2008-03-10,2008-05-27,US,ok,59.88607594936709,100.0,4731.0,79
6,Marissa Jaret Winokur,Dancing with the Stars (American TV series) season 6,2008-03-10,2008-05-27,US,ok,8.89873417721519,100.0,703.0,79
6,Marlee Matlin,Dancing with the Stars (American TV series) season 6,2008-03-10,2008-05-27,US,ok,9.39240506329114,100.0,742.0,79
6,Monica Seles,Dancing with the Stars (American TV series) season 6,2008-03-10,2008-05-27,US,ok,4.405063291139241,100.0,348.0,79
6,Penn Jillette,Dancing with the Stars (American TV series) season 6,2008-03-10,2008-05-27,US,ok,3.3164556962025316,100.0,262.0,79
6,Priscilla Presley,Dancing with the Stars (American TV series) season 6,2008-03-10,2008-05-27,US,ok,7.113924050632911,100.0,562.0,79
6,Shannon Elizabeth,Dancing with the Stars (American TV series) season 6,2008-03-10,2008-05-27,US,ok,16.746835443037973,100.0,1323.0,79
6,Steve Guttenberg,Dancing with the Stars (American TV series) season 6,2008-03-10,2008-05-27,US,ok,4.949367088607595,100.0,391.0,79
7,Brooke Burke,Dancing with the Stars (American TV series) season 7,2008-09-15,2008-12-02,US,ok,7.215189873417722,100.0,570.0,79
7,Cloris Leachman,Dancing with the Stars (American TV series) season 7,2008-09-15,2008-12-02,US,ok,10.291139240506329,100.0,813.0,79
7,Cody Linley,Dancing with the Stars (American TV series) season 7,2008-09-15,2008-12-02,US,ok,14.544303797468354,100.0,1149.0,79
7,Jeffrey Ross,Dancing with the Stars (American TV series) season 7,2008-09-15,2008-12-02,US,ok,2.4177215189873418,100.0,191.0,79
7,Kim Kardashian,Dancing with the Stars (American TV series) season 7,2008-09-15,2008-12-02,US,ok,37.607594936708864,100.0,2971.0,79
7,Lance Bass,Dancing with the Stars (American TV series) season 7,2008-09-15,2008-12-02,US,ok,10.582278481012658,100.0,836.0,79
7,Maurice Greene,Dancing with the Stars (American TV series) season 7,2008-09-15,2008-12-02,US,ok,7.379746835443038,100.0,583.0,79
7,Misty May-Treanor,Dancing with the Stars (American TV series) season 7,2008-09-15,2008-12-02,US,ok,4.746835443037975,100.0,375.0,79
7,Rocco DiSpirito,Dancing with the Stars (American TV series) season 7,2008-09-15,2008-12-02,US,ok,8.025316455696203,100.0,634.0,79
7,Susan Lucci,Dancing with the Stars (American TV series) season 7,2008-09-15,2008-12-02,US,ok,8.151898734177216,100.0,644.0,79
7,Ted McGinley,Dancing with the Stars (American TV series) season 7,2008-09-15,2008-12-02,US,ok,3.278481012658228,100.0,259.0,79
7,Toni Braxton,Dancing with the Stars (American TV series) season 7,2008-09-15,2008-12-02,US,ok,8.987341772151899,100.0,710.0,79
7,Warren Sapp,Dancing with the Stars (American TV series) season 7,2008-09-15,2008-12-02,US,ok,9.772151898734178,100.0,772.0,79
8,Belinda Carlisle,Dancing with the Stars (American TV series) season 8,2009-03-02,2009-05-26,US,ok,4.244186046511628,100.0,365.0,86
8,Chuck Wicks,Dancing with the Stars (American TV series) season 8,2009-03-02,2009-05-26,US,ok,17.569767441860463,100.0,1511.0,86
8,David Alan Grier,Dancing with the Stars (American TV series) season 8,2009-03-02,2009-05-26,US,ok,4.488372093023256,100.0,386.0,86
8,Denise Richards,Dancing with the Stars (American TV series) season 8,2009-03-02,2009-05-26,US,ok,15.313953488372093,100.0,1317.0,86
8,Gilles Marini,Dancing with the Stars (American TV series) season 8,2009-03-02,2009-05-26,US,ok,9.953488372093023,100.0,856.0,86
8,Holly Madison,Dancing with the Stars (American TV series) season 8,2009-03-02,2009-05-26,US,ok,26.930232558139537,100.0,2316.0,86
8,Lawrence Taylor,Dancing with the Stars (American TV series) season 8,2009-03-02,2009-05-26,US,ok,10.372093023255815,100.0,892.0,86
8,Lil' Kim,Dancing with the Stars (American TV series) season 8,2009-03-02,2009-05-26,US,empty,,,,0
8,Melissa Rycroft,Dancing with the Stars (American TV series) season 8,2009-03-02,2009-05-26,US,ok,10.011627906976743,100.0,861.0,86
8,Shawn Johnson,Dancing with the Stars (American TV series) season 8,2009-03-02,2009-05-26,US,ok,9.755813953488373,100.0,839.0,86
8,Steve Wozniak,Dancing with the Stars (American TV series) season 8,2009-03-02,2009-05-26,US,ok,8.604651162790697,100.0,740.0,86
8,Steve-O,Dancing with the Stars (American TV series) season 8,2009-03-02,2009-05-26,US,ok,13.279069767441861,100.0,1142.0,86
8,Ty Murray,Dancing with the Stars (American TV series) season 8,2009-03-02,2009-05-26,US,ok,15.13953488372093,100.0,1302.0,86
9,Aaron Carter,Dancing with the Stars (American TV series) season 9,2009-09-14,2009-12-01,US,ok,17.341772151898734,100.0,1370.0,79
9,Ashley Hamiliton,Dancing with the Stars (American TV series) season 9,2009-09-14,2009-12-01,US,empty,,,,0
9,Chuck Liddell,Dancing with the Stars (American TV series) season 9,2009-09-14,2009-12-01,US,ok,18.27848101265823,100.0,1444.0,79
9,Debi Mazar,Dancing with the Stars (American TV series) season 9,2009-09-14,2009-12-01,US,ok,5.215189873417722,100.0,412.0,79
9,Donny Osmond,Dancing with the Stars (American TV series) season 9,2009-09-14,2009-12-01,US,ok,5.69620253164557,100.0,450.0,79
9,Joanna Krupa,Dancing with the Stars (American TV series) season 9,2009-09-14,2009-12-01,US,ok,14.835443037974683,100.0,1172.0,79
9,Kathy Ireland,Dancing with the Stars (American TV series) season 9,2009-09-14,2009-12-01,US,ok,8.924050632911392,100.0,705.0,79
9,Kelly Osbourne,Dancing with the Stars (American TV series) season 9,2009-09-14,2009-12-01,US,ok,12.949367088607595,100.0,1023.0,79
9,Louie Vito,Dancing with the Stars (American TV series) season 9,2009-09-14,2009-12-01,US,ok,12.113924050632912,100.0,957.0,79
9,Macy Gray,Dancing with the Stars (American TV series) season 9,2009-09-14,2009-12-01,US,ok,3.8354430379746836,100.0,303.0,79
9,Mark Dacascos,Dancing with the Stars (American TV series) season 9,2009-09-14,2009-12-01,US,ok,7.8354430379746836,100.0,619.0,79
9,Melissa Joan Hart,Dancing with the Stars (American TV series) season 9,2009-09-14,2009-12-01,US,ok,20.050632911392405,100.0,1584.0,79
9,Michael Irvin,Dancing with the Stars (American TV series) season 9,2009-09-14,2009-12-01,US,ok,12.316455696202532,100.0,973.0,79
9,Mya,Dancing with the Stars (American TV series) season 9,2009-09-14,2009-12-01,US,ok,22.063291139240505,100.0,1743.0,79
9,Natalie Coughlin,Dancing with the Stars (American TV series) season 9,2009-09-14,2009-12-01,US,ok,6.227848101265823,100.0,492.0,79
9,Tom DeLay,Dancing with the Stars (American TV series) season 9,2009-09-14,2009-12-01,US,ok,5.215189873417722,100.0,412.0,79
10,Aiden Turner,Dancing with the Stars (American TV series) season 10,2010-03-15,2010-06-01,US,ok,4.3544303797468356,100.0,344.0,79
10,Buzz Aldrin,Dancing with the Stars (American TV series) season 10,2010-03-15,2010-06-01,US,ok,9.012658227848101,100.0,712.0,79
10,Chad Ochocinco,Dancing with the Stars (American TV series) season 10,2010-03-15,2010-06-01,US,ok,18.810126582278482,100.0,1486.0,79
10,Erin Andrews,Dancing with the Stars (American TV series) season 10,2010-03-15,2010-06-01,US,ok,12.810126582278482,100.0,1012.0,79
10,Evan Lysacek,Dancing with the Stars (American TV series) season 10,2010-03-15,2010-06-01,US,ok,20.59493670886076,100.0,1627.0,79
10,Jake Pavelka,Dancing with the Stars (American TV series) season 10,2010-03-15,2010-06-01,US,ok,17.949367088607595,100.0,1418.0,79
10,Kate Gosselin,Dancing with the Stars (American TV series) season 10,2010-03-15,2010-06-01,US,ok,22.40506329113924,100.0,1770.0,79
10,Nicole Scherzinger,Dancing with the Stars (American TV series) season 10,2010-03-15,2010-06-01,US,ok,9.670886075949367,100.0,764.0,79
10,Niecy Nash,Dancing with the Stars (American TV series) season 10,2010-03-15,2010-06-01,US,ok,10.924050632911392,100.0,863.0,79
10,Pamela Anderson,Dancing with the Stars (American TV series) season 10,2010-03-15,2010-06-01,US,ok,16.544303797468356,100.0,1307.0,79
